n_episode : 117, Total Frames : 6959, Average Score : 171.5, Episode Score : 80.0, Best Score : 1020.0, n_buffer : 6959, eps : 93.4%
n_episode : 118, Total Frames : 7022, Average Score : 171.2, Episode Score : 140.0, Best Score : 1020.0, n_buffer : 7022, eps : 93.3%
n_episode : 119, Total Frames : 7128, Average Score : 173.9, Episode Score : 490.0, Best Score : 1020.0, n_buffer : 7128, eps : 93.3%
n_episode : 120, Total Frames : 7163, Average Score : 173.0, Episode Score : 70.0, Best Score : 1020.0, n_buffer : 7163, eps : 93.2%
n_episode : 121, Total Frames : 7229, Average Score : 173.0, Episode Score : 170.0, Best Score : 1020.0, n_buffer : 7229, eps : 93.2%
n_episode : 122, Total Frames : 7295, Average Score : 173.0, Episode Score : 180.0, Best Score : 1020.0, n_buffer : 7295, eps : 93.1%
n_episode : 123, Total Frames : 7463, Average Score : 174.6, Episode Score : 370.0, Best Score : 1020.0, n_buffer : 7463, eps : 93.0%
n_episode : 124, Total Frames : 7513, Average Score : 174.4, Episode Score : 140.0, Best Score : 1020.0, n_buffer : 7513, eps : 92.9%
n_episode : 125, Total Frames : 7528, Average Score : 173.0, Episode Score : 0.0, Best Score : 1020.0, n_buffer : 7528, eps : 92.8%
n_episode : 126, Total Frames : 7547, Average Score : 172.0, Episode Score : 50.0, Best Score : 1020.0, n_buffer : 7547, eps : 92.8%
n_episode : 127, Total Frames : 7592, Average Score : 171.3, Episode Score : 80.0, Best Score : 1020.0, n_buffer : 7592, eps : 92.8%
n_episode : 128, Total Frames : 7632, Average Score : 170.6, Episode Score : 90.0, Best Score : 1020.0, n_buffer : 7632, eps : 92.8%
n_episode : 129, Total Frames : 7648, Average Score : 169.4, Episode Score : 10.0, Best Score : 1020.0, n_buffer : 7648, eps : 92.7%
n_episode : 130, Total Frames : 7712, Average Score : 168.9, Episode Score : 110.0, Best Score : 1020.0, n_buffer : 7712, eps : 92.7%
n_episode : 131, Total Frames : 7766, Average Score : 169.2, Episode Score : 210.0, Best Score : 1020.0, n_buffer : 7766, eps : 92.7%
n_episode : 132, Total Frames : 7788, Average Score : 168.0, Episode Score : 10.0, Best Score : 1020.0, n_buffer : 7788, eps : 92.6%
n_episode : 133, Total Frames : 7854, Average Score : 168.0, Episode Score : 160.0, Best Score : 1020.0, n_buffer : 7854, eps : 92.6%
n_episode : 134, Total Frames : 7911, Average Score : 167.5, Episode Score : 110.0, Best Score : 1020.0, n_buffer : 7911, eps : 92.5%
n_episode : 135, Total Frames : 8001, Average Score : 167.2, Episode Score : 120.0, Best Score : 1020.0, n_buffer : 8001, eps : 92.5%
n_episode : 136, Total Frames : 8065, Average Score : 166.9, Episode Score : 130.0, Best Score : 1020.0, n_buffer : 8065, eps : 92.4%
n_episode : 137, Total Frames : 8127, Average Score : 166.7, Episode Score : 140.0, Best Score : 1020.0, n_buffer : 8127, eps : 92.3%
n_episode : 138, Total Frames : 8180, Average Score : 165.9, Episode Score : 50.0, Best Score : 1020.0, n_buffer : 8180, eps : 92.3%
n_episode : 139, Total Frames : 8282, Average Score : 166.0, Episode Score : 190.0, Best Score : 1020.0, n_buffer : 8282, eps : 92.2%
n_episode : 140, Total Frames : 8305, Average Score : 164.9, Episode Score : 0.0, Best Score : 1020.0, n_buffer : 8305, eps : 92.1%
n_episode : 141, Total Frames : 8341, Average Score : 164.7, Episode Score : 140.0, Best Score : 1020.0, n_buffer : 8341, eps : 92.1%
n_episode : 142, Total Frames : 8443, Average Score : 165.8, Episode Score : 330.0, Best Score : 1020.0, n_buffer : 8443, eps : 92.1%
n_episode : 143, Total Frames : 8553, Average Score : 167.6, Episode Score : 420.0, Best Score : 1020.0, n_buffer : 8553, eps : 92.0%
n_episode : 144, Total Frames : 8596, Average Score : 166.5, Episode Score : 10.0, Best Score : 1020.0, n_buffer : 8596, eps : 91.9%
n_episode : 145, Total Frames : 8654, Average Score : 166.3, Episode Score : 130.0, Best Score : 1020.0, n_buffer : 8654, eps : 91.8%
n_episode : 146, Total Frames : 8699, Average Score : 165.9, Episode Score : 110.0, Best Score : 1020.0, n_buffer : 8699, eps : 91.8%
n_episode : 147, Total Frames : 8719, Average Score : 164.8, Episode Score : 0.0, Best Score : 1020.0, n_buffer : 8719, eps : 91.8%
n_episode : 148, Total Frames : 8835, Average Score : 165.3, Episode Score : 240.0, Best Score : 1020.0, n_buffer : 8835, eps : 91.7%
n_episode : 149, Total Frames : 8897, Average Score : 165.0, Episode Score : 130.0, Best Score : 1020.0, n_buffer : 8897, eps : 91.6%
